index,date,close
1,2024-08-28,125.6
2,2024-08-29,117.58
3,2024-08-30,119.36
4,2024-09-03,107.99
5,2024-09-04,106.2
6,2024-09-05,107.2
7,2024-09-06,102.82
8,2024-09-09,106.46
9,2024-09-10,108.09
10,2024-09-11,116.9
11,2024-09-12,119.14
12,2024-09-13,119.1
13,2024-09-16,116.78
14,2024-09-17,115.59
15,2024-09-18,113.37
16,2024-09-19,117.87
17,2024-09-20,116.0
18,2024-09-23,116.26
19,2024-09-24,120.87
20,2024-09-25,123.51
21,2024-09-26,124.04
